analysis_type,rank,draft_number,average_points
first_round_draft_position,1,1,16.46
first_round_draft_position,2,3,15.02
first_round_draft_position,3,5,13.01
first_round_draft_position,4,4,12.66
first_round_draft_position,5,2,12.61
first_round_draft_position,6,7,11.63
first_round_draft_position,7,13,11.34
first_round_draft_position,8,10,11.04
first_round_draft_position,9,9,10.78
first_round_draft_position,10,6,10.21
first_round_draft_position,11,15,9.40
first_round_draft_position,12,24,9.38
first_round_draft_position,13,8,9.36
first_round_draft_position,14,11,9.33
first_round_draft_position,15,30,9.33
first_round_draft_position,16,17,9.04
first_round_draft_position,17,14,9.00
first_round_draft_position,18,19,8.73
first_round_draft_position,19,16,8.63
first_round_draft_position,20,21,8.17
first_round_draft_position,21,18,7.97
first_round_draft_position,22,12,7.65
first_round_draft_position,23,27,7.63
first_round_draft_position,24,26,7.57
first_round_draft_position,25,25,7.55
first_round_draft_position,26,23,7.41
first_round_draft_position,27,20,7.30
first_round_draft_position,28,28,7.29
first_round_draft_position,29,22,6.89
first_round_draft_position,30,29,6.24
