season,international_player_count,international_player_percentage
1996-97,9,2.04
1997-98,14,3.19
1998-99,22,5.01
1999-00,24,5.48
2000-01,40,9.07
2001-02,51,11.59
2002-03,62,14.49
2003-04,61,13.80
2004-05,74,15.95
2005-06,80,17.47
2006-07,71,15.50
2007-08,70,15.52
2008-09,70,15.73
2009-10,75,16.97
2010-11,83,18.36
2011-12,83,17.36
2012-13,85,18.12
2013-14,92,19.09
2014-15,101,20.53
2015-16,101,21.22
2016-17,115,23.66
2017-18,114,21.11
2018-19,118,22.26
2019-20,125,23.63
2020-21,124,22.96
2021-22,133,21.98
2022-23,126,23.38
