season,player_name,combined_average
1996-97,Shaquille O'Neal,41.8
1997-98,Shaquille O'Neal,42.1
1998-99,Shaquille O'Neal,39.3
1999-00,Shaquille O'Neal,47.1
2000-01,Shaquille O'Neal,45.1
2001-02,Tim Duncan,41.9
2002-03,Tracy McGrady,44.1
2003-04,Kevin Garnett,43.1
2004-05,Allen Iverson,42.6
2005-06,Kobe Bryant,45.2
2006-07,Kobe Bryant,42.7
2007-08,LeBron James,45.1
2008-09,LeBron James,43.2
2009-10,LeBron James,45.6
2010-11,LeBron James,41.2
2011-12,Kevin Love,41.3
2012-13,LeBron James,42.1
2013-14,Kevin Durant,44.9
2014-15,Russell Westbrook,44.0
2015-16,James Harden,42.6
2016-17,Russell Westbrook,52.7
2017-18,Russell Westbrook,45.8
2018-19,James Harden,50.2
2019-20,Giannis Antetokounmpo,48.7
2020-21,Nikola Jokic,45.5
2021-22,Nikola Jokic,48.8
2022-23,Luka Doncic,49.0
